Weekday,TimestampDetected,Brand,StoreAddress,InventoryQty
Thursday,2025-09-18 09:30:41,BUFFALO TRACE BOURBON WHISKEY,"200 New Rand Road, Garner, NC 27529",36
Thursday,2025-09-18 09:30:41,BUFFALO TRACE BOURBON WHISKEY,"3615 SW Cary Parkway , Cary, NC 27513",36
Friday,2025-09-19 09:33:06,SHENK'S SOUR MASH WHISKEY,"4009 Davis Dr., Morrisville, NC 27560",3
Friday,2025-09-19 09:33:06,BLANTON'S BOURBON,"4009 Davis Dr., Morrisville, NC 27560",4
Friday,2025-09-19 09:33:06,EAGLE RARE 10Y,"4009 Davis Dr., Morrisville, NC 27560",22
Friday,2025-09-19 09:33:06,BUFFALO TRACE BOURBON WHISKEY,"4009 Davis Dr., Morrisville, NC 27560",36
Saturday,2025-09-20 09:27:10,SHENK'S SOUR MASH WHISKEY,"6494 Tryon Rd., Cary, NC 27511",3
Saturday,2025-09-20 09:27:10,SHENK'S SOUR MASH WHISKEY,"1415 E. Williams St., Apex, NC 27617",3
Saturday,2025-09-20 09:27:10,SHENK'S SOUR MASH WHISKEY,"1505 Banyon Pl., Wendell, NC 27571",3
Saturday,2025-09-20 09:27:10,E.H. TAYLOR JR. SMALL BATCH,"1505 Banyon Pl., Wendell, NC 27571",6
Saturday,2025-09-20 09:27:10,BLANTON'S BOURBON,"6494 Tryon Rd., Cary, NC 27511",6
Saturday,2025-09-20 09:27:10,BLANTON'S BOURBON,"1415 E. Williams St., Apex, NC 27617",6
Saturday,2025-09-20 09:27:10,BLANTON'S BOURBON,"1505 Banyon Pl., Wendell, NC 27571",6
Saturday,2025-09-20 09:27:10,EAGLE RARE 10Y,"6494 Tryon Rd., Cary, NC 27511",24
Saturday,2025-09-20 09:27:10,EAGLE RARE 10Y,"1415 E. Williams St., Apex, NC 27617",24
Saturday,2025-09-20 09:27:10,EAGLE RARE 10Y,"1505 Banyon Pl., Wendell, NC 27571",23
Saturday,2025-09-20 09:27:10,BUFFALO TRACE BOURBON WHISKEY,"6494 Tryon Rd., Cary, NC 27511",36
Saturday,2025-09-20 09:27:10,BUFFALO TRACE BOURBON WHISKEY,"1415 E. Williams St., Apex, NC 27617",36
Saturday,2025-09-20 09:27:10,BUFFALO TRACE BOURBON WHISKEY,"1505 Banyon Pl., Wendell, NC 27571",36
Monday,2025-09-22 13:16:26,SHENK'S SOUR MASH WHISKEY,"2645 Appliance Ct., Raleigh, NC 27604",3
Monday,2025-09-22 13:22:45,BOMBERGER'S DECLARATION KSB,"209 S Salisbury St, Raleigh, NC 27601",3
Thursday,2025-09-25 09:33:08,BOMBERGER'S DECLARATION KSB,"7336 Creedmoor Rd., Raleigh, NC 27613",3
Thursday,2025-09-25 09:33:08,OLD FORESTER PRESIDENT'S CHOICE RYE,"7336 Creedmoor Rd., Raleigh, NC 27613",6
Thursday,2025-09-25 09:33:08,SHENK'S SOUR MASH WHISKEY,"7336 Creedmoor Rd., Raleigh, NC 27613",3
Thursday,2025-09-25 09:33:08,E.H. TAYLOR JR. SMALL BATCH,"7336 Creedmoor Rd., Raleigh, NC 27613",6
Thursday,2025-09-25 09:33:08,BLANTON'S BOURBON,"7336 Creedmoor Rd., Raleigh, NC 27613",6
Thursday,2025-09-25 09:33:08,EAGLE RARE 10Y,"7336 Creedmoor Rd., Raleigh, NC 27613",24
Thursday,2025-09-25 09:33:08,BUFFALO TRACE BOURBON WHISKEY,"7336 Creedmoor Rd., Raleigh, NC 27613",48
Thursday,2025-10-16 09:36:16,BLANTON'S BOURBON,"1420 N Ardendell Dr., Zebulon, NC 27597",6
Thursday,2025-10-16 09:36:16,EAGLE RARE 10Y,"6301 Town Center Dr., Raleigh, NC 27614",6
Thursday,2025-10-16 09:36:16,EAGLE RARE 10Y,"1420 N Ardendell Dr., Zebulon, NC 27597",24
Thursday,2025-10-16 09:36:16,BUFFALO TRACE BOURBON WHISKEY,"2645 Appliance Ct., Raleigh, NC 27604",34
Thursday,2025-10-16 09:36:16,BUFFALO TRACE BOURBON WHISKEY,"6301 Town Center Dr., Raleigh, NC 27614",11
Thursday,2025-10-16 09:36:16,BUFFALO TRACE BOURBON WHISKEY,"1420 N Ardendell Dr., Zebulon, NC 27597",36
Friday,2025-10-17 09:36:16,BLANTON'S BOURBON,"6494 Tryon Rd., Cary, NC 27511",6
Friday,2025-10-17 09:36:16,BLANTON'S BOURBON,"1415 E. Williams St., Apex, NC 27617",6
Friday,2025-10-17 09:36:16,EAGLE RARE 10Y,"6494 Tryon Rd., Cary, NC 27511",24
Friday,2025-10-17 09:36:16,EAGLE RARE 10Y,"1415 E. Williams St., Apex, NC 27617",24
Friday,2025-10-17 09:36:16,BUFFALO TRACE BOURBON WHISKEY,"6494 Tryon Rd., Cary, NC 27511",36
Friday,2025-10-17 09:36:16,BUFFALO TRACE BOURBON WHISKEY,"1415 E. Williams St., Apex, NC 27617",36
